Abstract Artimus;Concierto;11/09/2018;11/09/2018;12;Ingles;Donostia / San Sebastian
Abundante Amigable Compuesto, exposicion de Manu Blazquez;Exposicion;09/03/2018;06/04/2018;18;Espanyol;Bilbao
Accademia Bizantina & Dantone;Concierto;08/05/2018;08/05/2018;34;Espanyol;Pamplona/Irunya
Accept;Concierto;28/01/2018;28/01/2018;40;Ingles;Bilbao
Accion de calle (40 aniversario del Taller de Artes Escenicas de Vitoria);Teatro;20/05/2018;20/05/2018;Gratis;Espanyol;Vitoria-Gasteiz
Accion poetica: El viento ya esta escrito, una radiografia sonora del caminar;Presentacion;18/11/2018;18/11/2018;Gratis;Espanyol;Donostia / San Sebastian
Acciones populares;Exposicion;01/10/2018;09/11/2018;Gratis;Espanyol;Donostia / San Sebastian
Ache pa ti taldea: Aunitz urtez;Concierto;12/10/2018;12/10/2018;Gratis;Espanyol;Bera
AC-NUN : UN CIPReS EN UN DESIERTo;Teatro;11/02/2018;11/02/2018;12;Espanyol;Getxo
AC-NUN, un cipres en el desierto;Teatro;09/06/2018;09/06/2018;Gratis;Espanyol;Vitoria-Gasteiz
AC-NUN, un cipres en el desierto;Teatro;09/03/2018;09/03/2018;Gratis;Espanyol;Bilbao
Acordaos de las manos, como descansan sin apretar, exposicion de Eztizen La Cruz;Exposicion;06/04/2018;29/04/2018;18;Espanyol;Getxo
ACT 2018: El fin de las cosas + YI-HA + Iocari;Teatro;30/05/2018;30/05/2018;27;Espanyol;Bilbao
ACT 2018: Kali + Que hacen las cosas? + We-ding!;Teatro;02/06/2018;02/06/2018;27;Espanyol;Bilbao
ACT 2018: Volitant + At one point + Trigger warning;Teatro;01/06/2018;01/06/2018;27;Espanyol;Bilbao
ACT Festival 2018 - Festival Internacional de Escena Emergente;Festivales (Gazteinformazioa);30/05/2018;02/06/2018;27;Espanyol;Bilbao
Actividades complementarias a la exposicion de Anabel Quincoces TRANSMUTACIoN 11. Abisal Spaces;Curso-taller;17/03/2018;17/03/2018;18;Espanyol;Vitoria-Gasteiz
Actividades culturales para el puente de diciembre 2018 en Artium;otros;06/12/2018;09/12/2018;10;Espanyol;Vitoria-Gasteiz
Actividades de la Red de Bibliotecas Municipales de Vitoria-Gasteiz (febrero a mayo de 2018);otros;01/02/2018;31/05/2018;35;Espanyol;Vitoria-Gasteiz
Actividades en los Civivox de Pamplona entre febrero y mayo de 2018;otros;01/02/2018;31/05/2018;35;Espanyol;Pamplona/Irunya
Actividades infantiles y familiares en los tres centros del monte Urgull (Semana Santa de 2018);Actividad infantil;24/03/2018;08/04/2018;18;Euskera;Donostia / San Sebastian
Actividades infantiles y familiares en los tres centros del monte Urgull (verano de 2018);Actividad infantil;01/07/2018;31/08/2018;27;Euskera;Donostia / San Sebastian
Actividades para celebrar el 20 aniversario de Patxi eta Konpainia;otros;12/03/2018;18/03/2018;18;Espanyol;Errenteria
Acto Messie + Selektah Stepi + Mighty Diamonds + Chalart58 Feat Matah;Concierto;24/08/2018;24/08/2018;Gratis;Espanyol;Hondarribia
Actos conmemorativos del centenario del Teatro Principal de Vitoria-Gasteiz;otros;24/03/2018;18/12/2018;18;Espanyol;Vitoria-Gasteiz
Actuacion de Eraiki Dantza Taldea;Danza;12/05/2018;12/05/2018;40;Espanyol;Irun
Actuacion de fin de curso de Sustraiak Dantza Taldea;Danza;25/05/2018;25/05/2018;27;Espanyol;Legazpi
Actuacion de las escuelas de musica de Debagoiena;Concierto;27/04/2018;27/04/2018;18;Espanyol;Bergara
